title,release_date,runtime,original_language,overview,poster_path,genres,production_companies,production_countries,spoken_languages,keywords
Kaash,04-09-1987,140,hi,"Bollywood actor Ritesh and Pooja are married and live a fairly wealthy lifestyle. When he ventures to produce a film, a huge risk considering his naivety, results in financial losses, which they have to make good by selling all their personal properties, vehicles, and belongings. They re-locate to live in a small flat, and Ritesh loses himself in an alcoholic and nostalgic world. Pooja decides to take over the reins of this family by seeking employed, much to the chagrin of her husband, who would prefer that she stay at home - a discussion that may well be the turning point of their relationship and signal the end of their marriage.",/zRRAOnUm65QuIDDsSH2zLks2x82.jpg,Drama,Yokohama Productions,India,Hindi,
Jaane Jigar,01-02-1998,0,hi,Two women look identical but hail from different backgrounds. They fall in love with Ravi and Vijay who are best friends. Misunderstandings arise when they believe they are in love with the same girl.,/qet3gnfVW4wOfYkCXdXG98ylBQW.jpg,,,,Russian,
Aaj Ka Ravan,29-09-2000,125,hi,A series of unfortunate events plague journalist Shanti after a fellow journalist is shot to death on her doorstep,/ptlMNw1bKLMaxK3AhgNeU6aIVei.jpg,,,,,
Jab Pyar Kisise Hota Hai,01-01-1961,140,hi,"About to be married, Nisha learns that Sunder had already been married to another woman, whom he is accused of murdering. And Sunder scrambles to come up with an explanation and absolve himself.",/rhA2fagZxtfbxxDbaWZRjLndHOc.jpg,"Comedy, Drama",Nasir Hussain Films,India,Hindi,musical
Naughty Boy,31-03-2006,95,hi,A father hires an attractive live-in tutor to help teach his son to be more confident around women. Comedy ensues when both father and son fall for her and attempt to sabotage each otherü??s attempts at romance.,/8RcIcF7xiqXTBBFb36zQZCVUurF.jpg,Comedy,,,Hindi,
Payback,26-11-2010,132,hi,A man decides to re-pay a good Samaritan but regrets doing so after he finds out that he is an assassin.,,"Action, Crime, Drama",,,,
Khullam Khulla Pyaar Karen,28-04-2005,155,hi,"Two enemy underworld Dons put their differences aside and marry their children, but a case of mistaken identity foils the plan.",/6PqrPB2BrPPolZ6VDxB0fs3X33q.jpg,Comedy,,,Hindi,
12 O'Clock,01-01-1958,132,hi,"Bani Chowdhury and solicitor Ajoy Kumar are deeply in love with each other. But their world comes crashing down when Bani's cousin, Maya is found dead in the first class compartment.",/tWcmpAfDVC0YpMGOHKcP3ot2DL0.jpg,"Crime, Drama, Mystery, Thriller",,India,Hindi,
The Golden Bird,01-11-2011,55,hi,"Two travelers are in search of a flying-craft, which they believe could possibly take them to the ultimate escape from the cycle of births. On their way they record their memories, dreams and fears on a sound-recorder and in a notebook.",/aCKmsKRxnaRkyaz6TPFJumb4fc3.jpg,Science Fiction,,India,Hindi,
Toofan Rani,,126,hi,Woman seeks revenge on the two gangsters that killed her parents.,/7jn7cODWzsrLL0rLViSYeRDqaCR.jpg,,,,,
